Accession	Source Database	Name	Tax ID	Tax Name	Length
A0A061B429	unreviewed	CYFA0S14e01233g1_1	36022	Cyberlindnera fabianii	176
A0A061BFA6	unreviewed	Proteasome chaperone 3	36022	Cyberlindnera fabianii	136
A0A099NXK7	unreviewed	Uncharacterized protein	4909	Pichia kudriavzevii	131
A0A099P8T0	unreviewed	Uncharacterized protein	4909	Pichia kudriavzevii	168
A0A0A8L659	unreviewed	WGS project CCBQ000000000 data, contig 00104	1427455	Kluyveromyces dobzhanskii CBS 2104	157
A0A0A8L9Z4	unreviewed	WGS project CCBQ000000000 data, contig 00011	1427455	Kluyveromyces dobzhanskii CBS 2104	159
A0A0C7MSA6	unreviewed	DUF659 domain-containing protein	1245769	Lachancea lanzarotensis	126
A0A0C7MYC1	unreviewed	Proteasome chaperone 3	1245769	Lachancea lanzarotensis	180
A0A0H5C9C5	unreviewed	Proteasome assembly chaperone 3	983966	Cyberlindnera jadinii (strain ATCC 18201 / CBS 1600 / BCRC 20928 / JCM 3617 / NBRC 0987 / NRRL Y-1542)	136
A0A0L0P1Y7	unreviewed	Proteasome assembly chaperone 3	498019	Candida auris	111
A0A0L0P8N2	unreviewed	Proteasome assembly chaperone 3	498019	Candida auris	138
A0A0L8R9R1	unreviewed	POC4-like protein	1080349	Saccharomyces eubayanus	164
A0A0L8RE74	unreviewed	IRC25-like protein	1080349	Saccharomyces eubayanus	180
A0A0L8VFV9	unreviewed	Proteasome chaperone 4	252598	Saccharomyces boulardii (nom. inval.)	148
A0A0L8VLB1	unreviewed	IRC25p Component of a heterodimeric Poc4p-Irc25p chaperone	252598	Saccharomyces boulardii (nom. inval.)	179
A0A0P1KLB2	unreviewed	Proteasome assembly chaperone 3	1654605	Lachancea quebecensis	130
A0A0P1KQQ0	unreviewed	Proteasome assembly chaperone 3	1654605	Lachancea quebecensis	173
A0A0V1PTS3	unreviewed	Proteasome chaperone 3	58627	Debaryomyces fabryi	141
A0A0W0CPN4	unreviewed	Proteasome chaperone 3	5478	Candida glabrata	170
A0A0W0CY54	unreviewed	Proteasome chaperone 4	5478	Candida glabrata	120
A0A0X8HWI2	unreviewed	Proteasome chaperone 3	45286	Eremothecium sinecaudum	171
A0A109UWW9	unreviewed	Proteasome chaperone 4	45286	Eremothecium sinecaudum	133
A0A1A0H5C7	unreviewed	Proteasome assembly chaperone 3	869754	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	141
A0A1A0HDL0	unreviewed	Proteasome assembly chaperone 3	869754	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	115
A0A1B2JB72	unreviewed	Proteasome assembly chaperone 3	4922	Komagataella pastoris	122
A0A1D2VIC4	unreviewed	Uncharacterized protein	1344418	Ascoidea rubescens DSM 1968	146
A0A1D2VMJ6	unreviewed	Proteasome assembly chaperone 3	1344418	Ascoidea rubescens DSM 1968	172
A0A1D8PFG6	unreviewed	Uncharacterized protein	237561	Candida albicans (strain SC5314 / ATCC MYA-2876)	165
A0A1D8PTK4	unreviewed	Uncharacterized protein	237561	Candida albicans (strain SC5314 / ATCC MYA-2876)	111
A0A1E3NFX3	unreviewed	Uncharacterized protein	763406	Pichia membranifaciens NRRL Y-2026	164
A0A1E3NQD0	unreviewed	Uncharacterized protein	763406	Pichia membranifaciens NRRL Y-2026	130
